"","CODE_REGIS","Presi","VOTOS"
"871",7274,"Fajardo",2740
"872",7274,"Fico",81
"873",7274,"Petro",295
"874",7277,"Fajardo",19271
"875",7277,"Fico",4946
"876",7277,"Petro",17001
"877",7280,"Fajardo",966
"878",7280,"Fico",73
"879",7280,"Petro",89
"880",7281,"Fajardo",730
"881",7281,"Fico",71
"882",7281,"Petro",310
"883",7282,"Fajardo",1465
"884",7282,"Fico",160
"885",7282,"Petro",536
"886",7283,"Fajardo",1474
"887",7283,"Fico",190
"888",7283,"Petro",440
"889",7286,"Fajardo",793
"890",7286,"Fico",59
"891",7286,"Petro",102
"892",7289,"Fajardo",2263
"893",7289,"Fico",210
"894",7289,"Petro",445
"895",7292,"Fajardo",1396
"896",7292,"Fico",84
"897",7292,"Petro",138
"898",7298,"Fajardo",1238
"899",7298,"Fico",114
"900",7298,"Petro",343
"901",7301,"Fajardo",1482
"902",7301,"Fico",87
"903",7301,"Petro",108
"904",7304,"Fajardo",1912
"905",7304,"Fico",113
"906",7304,"Petro",461
"907",7307,"Fajardo",1972
"908",7307,"Fico",351
"909",7307,"Petro",1347
"910",7310,"Fajardo",617
"911",7310,"Fico",141
"912",7310,"Petro",389
"913",7311,"Fajardo",852
"914",7311,"Fico",49
"915",7311,"Petro",153
"916",7313,"Fajardo",1392
"917",7313,"Fico",206
"918",7313,"Petro",792
"919",7316,"Fajardo",567
"920",7316,"Fico",169
"921",7316,"Petro",127
"922",7319,"Fajardo",968
"923",7319,"Fico",157
"924",7319,"Petro",271
"925",7322,"Fajardo",1041
"926",7322,"Fico",36
"927",7322,"Petro",164
"928",7324,"Fajardo",400
"929",7324,"Fico",78
"930",7324,"Petro",106
"931",7325,"Fajardo",1505
"932",7325,"Fico",156
"933",7325,"Petro",300
"934",7328,"Fajardo",2273
"935",7328,"Fico",302
"936",7328,"Petro",889
"937",7331,"Fajardo",778
"938",7331,"Fico",74
"939",7331,"Petro",133
"940",7334,"Fajardo",2719
"941",7334,"Fico",85
"942",7334,"Petro",201
"943",7337,"Fajardo",3637
"944",7337,"Fico",209
"945",7337,"Petro",697
"946",7340,"Fajardo",741
"947",7340,"Fico",87
"948",7340,"Petro",74
"949",7346,"Fajardo",1803
"950",7346,"Fico",50
"951",7346,"Petro",262
"952",9001,"Fajardo",33021
"953",9001,"Fico",43127
"954",9001,"Petro",45746
"955",9004,"Fajardo",844
"956",9004,"Fico",1767
"957",9004,"Petro",505
"958",9007,"Fajardo",876
"959",9007,"Fico",2554
"960",9007,"Petro",1627
"961",9013,"Fajardo",639
"962",9013,"Fico",968
"963",9013,"Petro",290
"964",9022,"Fajardo",520
"965",9022,"Fico",815
"966",9022,"Petro",538
"967",9034,"Fajardo",2470
"968",9034,"Fico",4173
"969",9034,"Petro",4277
"970",9037,"Fajardo",432
"971",9037,"Fico",785
"972",9037,"Petro",316
"973",9049,"Fajardo",2069
"974",9049,"Fico",4387
"975",9049,"Petro",4211
"976",9052,"Fajardo",196
"977",9052,"Fico",406
"978",9052,"Petro",197
"979",9055,"Fajardo",496
"980",9055,"Fico",940
"981",9055,"Petro",505
